Timestamp,Disease_Incidence,Disease_Prevalence,Vaccination_Rates,Health_Disparities_Region,Health_Disparities_Demographics,Environmental_Air_Quality,Environmental_Pollution,Location_Latitude,Location_Longitude
1996-10-28 00:16:23.523103,,73,52.92,East,High Income,Good,Low,33.791326,-84.39563
,49,425,72.07,,Low Income,Moderate,High,33.681536,-84.307559
1996-10-30 00:16:23.523103,,85,1.54,North,Middle Income,Moderate,Medium,33.828734,-84.331992
1996-10-31 00:16:23.523103,83,55,69.68,,Low Income,Moderate,,33.668582,-84.303459
1996-11-01 00:16:23.523103,50,50,30.6,East,Low Income,Moderate,Low,33.774681,-84.305038
,66,997,15.92,West,High Income,Unhealthy,Low,33.847528,-84.345229
1996-11-03 00:16:23.523103,30,378,74.88,East,High Income,Moderate,Medium,33.819732,-84.396051
1996-11-04 00:16:23.523103,84,957,N/A,South,Low Income,Moderate,,33.79445,
1996-11-05 00:16:23.523103,81,110,88.76,West,High Income,Moderate,Low,33.742193,-84.47948
1996-11-06 00:16:23.523103,95,,11.59,East,Low Income,Good,Medium,33.69163,-84.380346
,44,583,56.47,South,Low Income,Moderate,Low,33.808567,
1996-11-08 00:16:23.523103,7,570,13.62,South,Low Income,Moderate,High,33.838288,-84.39885
1996-11-09 00:16:23.523103,36,N/A,8.73,East,High Income,Moderate,High,33.804924,-84.456076
1996-11-10 00:16:23.523103,74,849,,South,Low Income,Good,,33.78698,-84.375386
1996-11-11 00:16:23.523103,96,649,99.11,Not Available,Low Income,Good,Medium,33.742982,-84.346486
1996-11-12 00:16:23.523103,90,,20.84,North,Low Income,Moderate,Low,33.835044,-84.414122
1996-11-13 00:16:23.523103,N/A,N/A,93.81,South,Low Income,Unhealthy,High,33.664882,-84.351492
1996-11-14 00:16:23.523103,16,856,58.27,North,Low Income,Moderate,Medium,33.6596,-84.367474
,61,97,26.4,West,,Not Available,Medium,33.810233,-84.363628
1996-11-16 00:16:23.523103,56,209,35.31,,Low Income,Unhealthy,Medium,33.82917,-84.421752
1996-11-17 00:16:23.523103,74,658,60.7,East,Middle Income,Unhealthy,Medium,33.761946,-84.356952
1996-11-18 00:16:23.523103,11,803,58.9,West,Middle Income,Unhealthy,Low,33.840617,
1996-11-19 00:16:23.523103,51,,17.39,,Middle Income,Unhealthy,High,33.800889,
1996-11-20 00:16:23.523103,96,971,69.55,West,Low Income,Good,Low,33.766885,-84.417491
1996-11-21 00:16:23.523103,38,673,,East,Middle Income,Unhealthy,Low,33.733066,-84.317939
1996-11-22 00:16:23.523103,98,425,9.65,West,High Income,Moderate,High,33.72444,
1996-11-23 00:16:23.523103,61,705,,East,High Income,Unhealthy,,,-84.453415
1996-11-24 00:16:23.523103,36,284,35.61,North,Low Income,Unhealthy,Medium,33.749724,
1996-11-25 00:16:23.523103,5,64,36.86,North,Middle Income,Unhealthy,High,,-84.360931
1996-11-26 00:16:23.523103,49,440,71.43,South,Middle Income,Good,High,33.73839,-84.305176
,52,919,44.76,East,High Income,Good,,,-84.484823
1996-11-28 00:16:23.523103,11,288,50.61,South,Middle Income,,High,,-84.446236
1996-11-29 00:16:23.523103,23,924,,East,,Good,,33.72287,
1996-11-30 00:16:23.523103,73,333,5.54,North,Low Income,Unhealthy,High,33.676701,-84.449504
1996-12-01 00:16:23.523103,54,919,98.06,East,Middle Income,Good,Low,33.671064,-84.358006
1996-12-02 00:16:23.523103,56,50,60.3,North,Middle Income,Good,High,33.800625,-84.47919
1996-12-03 00:16:23.523103,74,,12.04,North,High Income,Good,Medium,,-84.307192
,99,732,74.15,North,High Income,Good,,33.729226,-84.411507
1996-12-05 00:16:23.523103,61,460,N/A,North,,Good,Low,33.722388,-84.390705
1996-12-06 00:16:23.523103,99,231,73.15,West,Low Income,Moderate,Medium,33.773692,-84.442228
1996-12-07 00:16:23.523103,30,349,64.06,West,Low Income,Good,Low,33.825302,-84.349437
1996-12-08 00:16:23.523103,N/A,384,81.47,North,High Income,Good,Low,33.806567,-84.353673
1996-12-09 00:16:23.523103,61,524,,East,,Good,Low,33.689808,-84.461904
1996-12-10 00:16:23.523103,41,613,5.59,South,High Income,Unhealthy,High,33.722658,-84.385209
1996-12-11 00:16:23.523103,N/A,962,97.74,West,,Moderate,High,33.732592,-84.311965
1996-12-12 00:16:23.523103,77,804,84.63,West,Middle Income,Moderate,High,,-84.30266
1996-12-13 00:16:23.523103,95,N/A,0.08,South,Low Income,Good,High,33.690555,-84.353495
1996-12-14 00:16:23.523103,54,926,91.72,North,,Moderate,Medium,,-84.477087
1996-12-15 00:16:23.523103,15,8,7.17,South,Middle Income,Not Available,High,33.820425,-84.343293
1996-12-16 00:16:23.523103,19,529,7.71,East,Middle Income,Good,High,33.741812,-84.477635
1996-12-17 00:16:23.523103,17,229,78.84,East,Middle Income,Moderate,Low,,-84.467905
1996-12-18 00:16:23.523103,57,669,96.3,East,Middle Income,Unhealthy,Medium,33.672984,-84.394042
1996-12-19 00:16:23.523103,77,188,,West,Middle Income,Not Available,High,33.842586,-84.288299
1996-12-20 00:16:23.523103,25,811,56.56,South,Low Income,Unhealthy,Low,33.747769,-84.475613
1996-12-21 00:16:23.523103,35,N/A,N/A,North,Middle Income,Good,Medium,33.711045,-84.375086
1996-12-22 00:16:23.523103,23,541,49.4,East,High Income,Good,Medium,33.816889,-84.364793
1996-12-23 00:16:23.523103,74,179,33.63,North,High Income,Good,Medium,33.724162,-84.400265
1996-12-24 00:16:23.523103,75,912,73.71,South,High Income,Moderate,,33.793566,-84.333276
1996-12-25 00:16:23.523103,32,795,96.95,West,Low Income,Unhealthy,Low,,-84.322609
1996-12-26 00:16:23.523103,15,614,N/A,East,Middle Income,Moderate,High,33.843462,
1996-12-27 00:16:23.523103,47,806,33.17,North,High Income,Moderate,Medium,33.82498,-84.434397
1996-12-28 00:16:23.523103,48,950,73.03,South,Low Income,Moderate,Medium,33.816525,-84.295293
1996-12-29 00:16:23.523103,19,644,6.45,South,Middle Income,Good,Medium,33.717649,-84.470807
1996-12-30 00:16:23.523103,57,510,19.79,West,Middle Income,Good,Medium,33.676533,-84.380656
1996-12-31 00:16:23.523103,N/A,333,,East,Middle Income,,Medium,33.827877,
1997-01-01 00:16:23.523103,93,425,34.1,,Low Income,Unhealthy,Medium,33.767504,-84.406989
1997-01-02 00:16:23.523103,48,672,23.87,Not Available,Middle Income,Unhealthy,High,33.795972,-84.440085
,81,,10.28,West,Not Available,Good,Low,33.705928,-84.322773
1997-01-04 00:16:23.523103,39,35,9.52,West,High Income,Moderate,High,33.717445,-84.334917
1997-01-05 00:16:23.523103,63,936,38.87,West,Middle Income,Moderate,Low,33.800292,-84.368175
1997-01-06 00:16:23.523103,39,449,71.33,East,Low Income,Unhealthy,Medium,33.740466,-84.376121
1997-01-07 00:16:23.523103,100,263,12.05,North,Middle Income,Unhealthy,High,33.729997,-84.345732
,59,989,1.16,South,High Income,Good,,33.793426,-84.370023
1997-01-09 00:16:23.523103,37,487,14.25,North,,Moderate,Medium,33.660639,
1997-01-10 00:16:23.523103,78,895,12.1,West,Low Income,Unhealthy,High,33.678145,-84.391374
1997-01-11 00:16:23.523103,,532,30.63,East,,Good,Medium,33.830585,-84.301979
1997-01-12 00:16:23.523103,55,426,16.33,South,Middle Income,Good,Medium,33.697705,-84.460794
1997-01-13 00:16:23.523103,61,448,0.56,South,Low Income,Moderate,High,33.779113,-84.43368
1997-01-14 00:16:23.523103,17,318,53.44,South,Middle Income,Moderate,Medium,33.830576,-84.329348
1997-01-15 00:16:23.523103,99,417,39.06,East,Low Income,,High,33.755599,-84.341547
1997-01-16 00:16:23.523103,96,,80.89,South,High Income,Good,Low,33.808453,-84.40942
1997-01-17 00:16:23.523103,35,627,14.25,South,Low Income,Unhealthy,Low,33.819542,-84.401493
1997-01-18 00:16:23.523103,71,468,12.89,East,Middle Income,Unhealthy,High,33.71989,-84.315888
1997-01-19 00:16:23.523103,60,677,82.63,South,,Not Available,Medium,33.80254,-84.325546
1997-01-20 00:16:23.523103,32,32,11.45,West,Low Income,Unhealthy,Low,33.718595,-84.38628
1997-01-21 00:16:23.523103,24,679,32.96,,,,,33.696363,-84.436392
1997-01-22 00:16:23.523103,85,,77.39,West,Middle Income,Unhealthy,High,33.692489,-84.330096
1997-01-23 00:16:23.523103,,356,44.28,,High Income,Unhealthy,High,33.670535,-84.372756
1997-01-24 00:16:23.523103,33,44,54.26,South,Low Income,Unhealthy,,33.811793,
,48,205,97.68,North,,Good,High,33.734391,-84.368994
1997-01-26 00:16:23.523103,60,700,87.2,South,High Income,Unhealthy,High,33.802696,-84.314591
1997-01-27 00:16:23.523103,13,285,64.49,South,Middle Income,Unhealthy,Low,33.830737,-84.442941
1997-01-28 00:16:23.523103,64,504,13.03,East,Low Income,Unhealthy,Medium,33.654521,-84.341982
1997-01-29 00:16:23.523103,57,631,N/A,,Low Income,,Medium,33.847739,-84.430709
1997-01-30 00:16:23.523103,66,990,30.65,West,High Income,Not Available,Low,33.716367,-84.40609
1997-01-31 00:16:23.523103,,157,55.94,West,High Income,Unhealthy,Medium,,-84.315721
1997-02-01 00:16:23.523103,15,449,13.76,West,High Income,,Not Available,33.718769,-84.303377
1997-02-02 00:16:23.523103,22,280,64.52,West,Low Income,Unhealthy,Not Available,33.753217,-84.434323
1997-02-03 00:16:23.523103,89,653,59.31,East,High Income,Unhealthy,Medium,33.740432,
1997-02-04 00:16:23.523103,19,232,48.62,South,High Income,Good,Not Available,,-84.480689
1997-02-05 00:16:23.523103,90,,64.5,South,Middle Income,,Medium,33.811773,-84.330767
,33,446,28.75,Not Available,,Good,Medium,,-84.355095
1997-02-07 00:16:23.523103,,136,37.76,North,,Unhealthy,Medium,33.81918,-84.300984
1997-02-08 00:16:23.523103,64,N/A,47.54,Not Available,High Income,Unhealthy,,33.810692,
,85,124,84.38,North,High Income,Good,Low,,-84.348845
1997-02-10 00:16:23.523103,,,59.73,South,Middle Income,Moderate,Low,33.743444,-84.38199
1997-02-11 00:16:23.523103,4,604,,North,High Income,Good,Medium,33.649732,-84.347489
1997-02-12 00:16:23.523103,60,,57.36,South,Middle Income,Unhealthy,Not Available,33.657054,-84.33698
1997-02-13 00:16:23.523103,22,908,81.21,North,,Unhealthy,Low,33.705721,-84.345811
1997-02-14 00:16:23.523103,17,937,25.66,South,Middle Income,Good,Low,33.699217,-84.302205
1997-02-15 00:16:23.523103,43,613,97.71,,Low Income,Moderate,High,33.738107,-84.376804
1997-02-16 00:16:23.523103,4,937,N/A,West,Low Income,Moderate,Not Available,33.760371,-84.476131
1997-02-17 00:16:23.523103,87,,3.31,East,Low Income,Moderate,Medium,33.709013,-84.393669
1997-02-18 00:16:23.523103,77,577,33.33,North,,Good,Medium,33.740184,-84.32531
1997-02-19 00:16:23.523103,,376,1.53,South,High Income,Unhealthy,High,33.840662,-84.314019
1997-02-20 00:16:23.523103,,353,61.78,East,Low Income,Good,High,33.775809,-84.341176
1997-02-21 00:16:23.523103,38,560,32.76,North,High Income,Moderate,,33.722834,-84.330219
1997-02-22 00:16:23.523103,,659,58.48,South,Middle Income,Good,Low,33.671396,-84.464832
1997-02-23 00:16:23.523103,,,20.3,South,High Income,Moderate,High,33.705609,
1997-02-24 00:16:23.523103,7,398,92.24,South,,Moderate,Medium,33.744391,
,,916,96.8,South,Middle Income,Good,High,33.783353,-84.461344
1997-02-26 00:16:23.523103,58,189,61.67,East,High Income,Moderate,Not Available,33.766047,-84.331132
1997-02-27 00:16:23.523103,61,45,80.99,West,Middle Income,,High,33.665287,-84.338395
1997-02-28 00:16:23.523103,33,801,70.36,West,Low Income,Unhealthy,Low,33.795966,-84.381861
1997-03-01 00:16:23.523103,38,183,,,Low Income,Moderate,,33.835788,-84.364572
1997-03-02 00:16:23.523103,99,955,79.76,West,Low Income,,High,33.793238,-84.474016
1997-03-03 00:16:23.523103,65,522,53.31,West,Middle Income,Good,,33.715464,-84.382934
1997-03-04 00:16:23.523103,32,534,22.37,South,Middle Income,Unhealthy,High,33.788885,-84.427118
1997-03-05 00:16:23.523103,N/A,541,33.72,South,Not Available,Unhealthy,Medium,33.793325,-84.338362
1997-03-06 00:16:23.523103,63,284,48.48,Not Available,High Income,Good,Not Available,33.724159,-84.416865
1997-03-07 00:16:23.523103,79,739,24.58,West,Middle Income,Moderate,Low,33.6807,-84.3519
1997-03-08 00:16:23.523103,97,200,53.49,West,High Income,Moderate,High,33.709782,-84.326203
1997-03-09 00:16:23.523103,,78,41.26,South,Low Income,Moderate,Medium,33.761885,-84.34706
1997-03-10 00:16:23.523103,9,891,21.1,West,Middle Income,Good,Medium,33.666731,-84.356662
,59,568,32.74,North,Middle Income,Good,Low,33.795597,-84.487213
1997-03-12 00:16:23.523103,N/A,916,97.6,North,High Income,Good,High,33.81018,-84.415989
,20,,66.44,South,Low Income,Good,Medium,33.740039,-84.334396
1997-03-14 00:16:23.523103,58,730,60.5,North,High Income,Moderate,Medium,33.781182,-84.350114
1997-03-15 00:16:23.523103,4,551,86.28,North,Middle Income,Not Available,Low,33.699127,-84.324423
1997-03-16 00:16:23.523103,9,,,East,,Unhealthy,High,33.659131,-84.354249
